id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed,ano,mes,dia,dia_semana
N,Norte,2024-01-01,6532.98604167,2024,1,1,0
NE,Nordeste,2024-01-01,11658.74008333,2024,1,1,0
S,Sul,2024-01-01,10472.40329167,2024,1,1,0
SE,Sudeste/Centro-Oeste,2024-01-01,35089.38670833,2024,1,1,0
N,Norte,2024-01-02,7154.33433333,2024,1,2,1
NE,Nordeste,2024-01-02,12642.99208333,2024,1,2,1
S,Sul,2024-01-02,12956.08525,2024,1,2,1
SE,Sudeste/Centro-Oeste,2024-01-02,41347.51754167,2024,1,2,1
N,Norte,2024-01-03,7160.81108333,2024,1,3,2
NE,Nordeste,2024-01-03,13147.95679167,2024,1,3,2
S,Sul,2024-01-03,13443.96695833,2024,1,3,2
SE,Sudeste/Centro-Oeste,2024-01-03,44219.5455,2024,1,3,2
N,Norte,2024-01-04,7281.33133333,2024,1,4,3
NE,Nordeste,2024-01-04,13448.05870833,2024,1,4,3
S,Sul,2024-01-04,13904.14791667,2024,1,4,3
SE,Sudeste/Centro-Oeste,2024-01-04,43571.44904167,2024,1,4,3
N,Norte,2024-01-05,7307.109875,2024,1,5,4
NE,Nordeste,2024-01-05,13562.10008333,2024,1,5,4
S,Sul,2024-01-05,13813.90220833,2024,1,5,4
SE,Sudeste/Centro-Oeste,2024-01-05,43669.79008333,2024,1,5,4
N,Norte,2024-01-06,6966.52754167,2024,1,6,5
NE,Nordeste,2024-01-06,12986.91875,2024,1,6,5
S,Sul,2024-01-06,13046.68654167,2024,1,6,5
SE,Sudeste/Centro-Oeste,2024-01-06,41671.46645833,2024,1,6,5
N,Norte,2024-01-07,6636.06170833,2024,1,7,6
NE,Nordeste,2024-01-07,12055.47520833,2024,1,7,6
S,Sul,2024-01-07,12846.31095833,2024,1,7,6
SE,Sudeste/Centro-Oeste,2024-01-07,39885.6,2024,1,7,6
N,Norte,2024-01-08,7288.127375,2024,1,8,0
NE,Nordeste,2024-01-08,13516.60504167,2024,1,8,0
S,Sul,2024-01-08,16220.4935,2024,1,8,0
SE,Sudeste/Centro-Oeste,2024-01-08,47088.04725,2024,1,8,0
N,Norte,2024-01-09,7423.89466667,2024,1,9,1
NE,Nordeste,2024-01-09,13660.09445833,2024,1,9,1
S,Sul,2024-01-09,16444.15704167,2024,1,9,1
SE,Sudeste/Centro-Oeste,2024-01-09,48753.35779167,2024,1,9,1
N,Norte,2024-01-10,7339.053625,2024,1,10,2
NE,Nordeste,2024-01-10,13755.18645833,2024,1,10,2
S,Sul,2024-01-10,16393.82204167,2024,1,10,2
SE,Sudeste/Centro-Oeste,2024-01-10,49302.80891667,2024,1,10,2
N,Norte,2024-01-11,7405.88520833,2024,1,11,3
NE,Nordeste,2024-01-11,13402.46866667,2024,1,11,3
S,Sul,2024-01-11,16248.09295833,2024,1,11,3
SE,Sudeste/Centro-Oeste,2024-01-11,49274.867125,2024,1,11,3
N,Norte,2024-01-12,7008.273625,2024,1,12,4
NE,Nordeste,2024-01-12,13248.26233333,2024,1,12,4
S,Sul,2024-01-12,15124.02966667,2024,1,12,4
SE,Sudeste/Centro-Oeste,2024-01-12,48741.83491667,2024,1,12,4
N,Norte,2024-01-13,6799.208,2024,1,13,5
NE,Nordeste,2024-01-13,12791.705,2024,1,13,5
S,Sul,2024-01-13,13041.35433333,2024,1,13,5
SE,Sudeste/Centro-Oeste,2024-01-13,43804.58725,2024,1,13,5
N,Norte,2024-01-14,6550.80483333,2024,1,14,6
NE,Nordeste,2024-01-14,11886.52841667,2024,1,14,6
S,Sul,2024-01-14,12259.44625,2024,1,14,6
SE,Sudeste/Centro-Oeste,2024-01-14,39828.23358333,2024,1,14,6
N,Norte,2024-01-15,7141.938625,2024,1,15,0
NE,Nordeste,2024-01-15,13194.50633333,2024,1,15,0
S,Sul,2024-01-15,15929.24416667,2024,1,15,0
SE,Sudeste/Centro-Oeste,2024-01-15,47654.45770833,2024,1,15,0
N,Norte,2024-01-16,7395.842,2024,1,16,1
NE,Nordeste,2024-01-16,13475.434125,2024,1,16,1
S,Sul,2024-01-16,16750.95583333,2024,1,16,1
SE,Sudeste/Centro-Oeste,2024-01-16,50529.63791667,2024,1,16,1
N,Norte,2024-01-17,7491.49095833,2024,1,17,2
NE,Nordeste,2024-01-17,13518.592875,2024,1,17,2
S,Sul,2024-01-17,15124.07983333,2024,1,17,2
SE,Sudeste/Centro-Oeste,2024-01-17,52372.05279167,2024,1,17,2
N,Norte,2024-01-18,7632.63070833,2024,1,18,3
