municipio,ano,num_cons_residencial,kWh_residencial,num_cons_comercial,kWh_comercial,num_cons_rural,kWh_rural,num_cons_industrial,kWh_industrial,num_cons_iluminacao_publica,kWh_iluminacao_publica,num_cons_poder_publico,kWh_poder_publico,num_cons_servico_publico,kWh_servico_publico,num_cons_consumo_proprio,kWh_consumo_proprio,num_cons_total,kWh_total
Alambari,2020,2383,4520810,70,1026813,152,2211104,16,1242744,4,747088,35,177462,14,395762,1,12870,2675,10334653
Alumínio,2020,5470,11777916,184,5306761,5,23139,14,3504965843,11,1390608,53,905829,16,1504254,0,0,5753,3525874350
Araçariguama,2020,8200,18970485,360,16822214,30,219374,93,68732722,10,1969104,73,1043129,14,1795899,3,39930,8783,109592837
Araçoiaba da Serra,2020,20238,47999418,511,9305852,371,5558777,43,6333533,22,4479675,107,729693,22,4014999,1,3806,21315,78425753
Boituva,2020,28247,67673599,948,18859640,406,26354783,188,172530731,68,6085299,152,1287590,20,5099504,6,116737,30035,298007883
Capela do Alto,2020,8844,16923642,239,2717339,245,6359168,26,1912422,24,2123259,66,1841186,25,2611277,0,0,9469,34488293
Cerquilho,2020,17554,38104175,1476,14686884,497,5025053,273,101246177,38,5187874,113,1491438,15,4473579,1,48520,19967,170263700
Cesário Lange,2020,6570,12569828,664,14341646,937,8675835,76,14854398,23,1419762,80,610766,29,2951441,1,58520,8380,55482196
Ibiúna,2020,17728,39660067,948,17831122,462,8620301,49,26772476,9,2848588,97,1124189,25,121812260,4,56262,19322,218725265
Iperó,2020,11030,23453185,248,6446351,182,1615435,68,22493439,7,2139547,136,14253193,31,2478931,0,0,11702,72862081
Itapetininga,2020,59938,125542230,2784,43117353,1883,27304088,206,271899223,2,13435122,395,5588889,64,15416427,13,177046,65285,480280378
Itu,2020,67259,192258359,3667,95828009,378,15719774,375,268859415,125,12084101,393,7499269,102,16332261,4,175701,72303,608756889
Jumirim,2020,1064,2173885,61,558724,233,4562194,34,15584886,8,331232,24,318032,8,405721,0,0,1432,23934674
Mairinque,2020,19940,47029810,592,7698653,100,1520017,64,76139023,10,3971536,104,1008957,31,3744569,1,32847,20842,141145412
Piedade,2020,18047,33475458,1673,13447421,5552,36338600,101,5708896,15,2130880,157,906742,31,3784639,2,102791,25578,95895427
Pilar do Sul,2020,11061,19508147,939,8655568,1472,8604794,70,2309223,23,1717984,86,648300,25,1498268,2,38082,13678,43580366
Porto Feliz,2020,20929,64487460,1054,24906595,1341,18777485,106,106528940,37,4224825,205,2815741,30,4158906,4,142978,23706,226052930
Salto,2020,54009,133511740,2190,44307724,121,2041033,334,392115967,138,9800988,191,2824923,52,12420554,6,186864,57041,597209793
Salto de Pirapora,2020,19081,38434921,463,9087011,169,1776952,51,336444587,21,3728227,142,1109139,28,4581681,1,2993,19956,395165511
São Miguel Arcanjo,2020,10114,18226229,547,5327187,2404,13332778,55,2057516,18,2454820,126,657798,29,2124023,5,16479,13298,44196830
São Roque,2020,33887,84242969,1447,40474974,411,4773359,155,77780307,40,10802412,209,2465272,61,9781819,4,84698,36194,230405810
Sarapuí,2020,4465,7679503,152,1360913,559,5694250,21,4493194,1,1311275,48,254121,17,1148634,3,21163,5266,21963053
Sorocaba,2020,294518,705741284,13172,382842601,285,5148026,1151,754309223,380,50662650,1031,24017592,135,52254596,26,776696,310698,1975752668
Tapiraí,2020,3053,5121759,231,2127206,511,2251899,23,867637,4,645722,49,229713,14,473311,3,8998,3888,11726245
Tatuí,2020,48548,99278474,3759,56408524,1957,20323074,351,184603695,72,8266184,257,2598847,55,14435705,4,179280,55003,386093831
Tietê,2020,14565,32614885,1524,15329279,889,17723985,315,82780759,45,4234273,118,1063238,47,6442654,1,11328,17504,160200401
Votorantim,2020,48575,110902752,1822,39591538,30,376008,131,302131507,75,10620459,225,4359188,48,11832644,5,142437,50911,476356533
Americana,2020,106792,257338382,7540,128686139,27,253272,1089,521295545,117,20265928,419,8472626,70,26774900,12,329322,116066,963416114
Campinas,2020,462811,1165921053,34322,990086334,854,16967899,1760,525948142,133,96071575,2091,114348221,199,91785639,44,8539935,502214,3009668798
Cosmópolis,2020,23987,52206862,977,12154891,158,1995532,88,71976215,21,4675704,149,1443660,10,4967775,1,43775,25391,149464414
Elias Fausto,2020,6116,14530478,213,4386750,361,5231356,63,59419623,5,1398285,74,721470,20,1697874,1,16128,6853,87401964
Holambra,2020,4055,12129184,689,8909446,689,42461735,27,12869421,46,2896406,78,853750,12,2048191,2,4521,5598,82172654
Hortolândia,2020,87953,199257864,2908,201215437,33,523373,311,150297061,155,14141783,256,6712190,24,10784856,3,102777,91643,583035341
Indaiatuba,2020,102277,283839664,4921,146962377,631,10908575,852,352950626,383,27944112,471,8345621,77,35318776,11,322219,109623,867191970
Jaguariúna,2020,23126,61680340,1636,41665693,354,4702399,219,255215870,30,9045341,166,2699084,47,8986428,8,253202,25586,384248357
Monte Mor,2020,25828,53838473,689,14407371,351,7746137,121,85877424,22,5896627,126,1404819,41,4358480,3,36131,27181,176565462
Nova Odessa,2020,25809,60284015,1202,31676561,79,1241719,310,46505,17,7303966,197,3587598,14,5018216,2,109480,27630,109268060
Paulínia,2020,42629,118769359,2341,91412249,214,2783820,235,917943652,16,13380530,299,12265707,53,43673453,3,100961,45692,1200329731
Pedreira,2020,17318,42909160,1255,18844320,147,2527905,373,137434187,14,3712736,169,1145213,50,6057432,2,36059,19328,212667012
Alambari,2021,2486,4708472,70,865004,146,2438384,18,1329139,7,755817,36,238223,14,409791,1,10174,2778,10755004
Alumínio,2021,5490,11855881,184,6092886,5,23171,15,4100497729,9,1387712,54,903632,16,1505865,0,0,5773,4122266876
Araçariguama,2021,8573,19856883,337,18706784,29,220080,94,529805680,8,1969339,78,1420688,15,1879928,3,35426,9137,573894808
Araçoiaba da Serra,2021,20952,48697524,509,10066859,372,5966306,48,7477779,18,4510556,118,789099,25,4443085,1,5144,22043,81926352
Boituva,2021,29630,72339931,946,19416320,390,27723947,182,163197449,51,6065038,169,1523831,20,5411765,6,80056,31394,295758337
Capela do Alto,2021,9172,17433582,224,2619298,234,6591837,28,2473855,19,2108454,65,1997853,25,2700638,0,0,9767,35925517
Cerquilho,2021,17983,38943957,1514,16397352,506,4981212,278,106802633,38,5155691,116,1409945,15,4347956,1,48960,20451,178087706
Cesário Lange,2021,6817,12608692,675,7954540,938,8383298,78,18461644,23,1433053,86,709210,30,3108590,1,59780,8648,52718807
Ibiúna,2021,17997,40965640,933,18448794,449,97062572,47,30177374,6,2755036,98,1247396,25,180821147,3,47513,19558,371525472
Iperó,2021,11664,24484392,244,7181364,177,1665076,69,32584648,5,2052478,135,14934949,32,2589301,0,0,12326,85492208
Itapetininga,2021,62317,129179440,2680,45817625,1842,26880359,202,332168471,2,12202658,405,6213122,68,17205285,11,161170,67527,569828130
